policy,estimator,arm,estimate,std_error,ci_low,ci_high,valid,note,effective_sample_fraction,rep
fixed,aipw,1,0.1813359017185588,0.0197355832061221,0.1426548694206658,0.2200169340164517,True,,1.0,15
fixed,aw_aipw,1,0.1813359017185587,0.0197355832061221,0.1426548694206658,0.2200169340164516,True,,1.0,15
fixed,difference_in_means,2,0.1576310907795293,0.0204286082359656,0.1175917543827582,0.1976704271763004,True,,1.0,15
fixed,ipw,2,0.146,0.0254329060112493,0.096152420195759,0.195847579804241,True,,1.0,15
fixed,aipw,2,0.1649710200645486,0.0199501266791648,0.1258694902863739,0.2040725498427234,True,,1.0,15
fixed,aw_aipw,2,0.1649710200645486,0.0199501266791648,0.1258694902863739,0.2040725498427234,True,,1.0,15
fixed,difference_in_means,3,0.1079766657367745,0.0200656337639731,0.0686487462324161,0.1473045852411328,True,,1.0,15
fixed,ipw,3,0.1,0.0245693083485917,0.0518450405117008,0.1481549594882991,True,,1.0,15
fixed,aipw,3,0.1162117544548894,0.0200685486909083,0.0768781217987205,0.1555453871110583,True,,1.0,15
fixed,aw_aipw,3,0.1162117544548894,0.0200685486909083,0.0768781217987205,0.1555453871110583,True,,1.0,15
fixed,difference_in_means,1,0.152914589065322,0.0208793635050969,0.1119917885752119,0.193837389555432,True,,1.0,16
fixed,ipw,1,0.151,0.025088983922801,0.1018264951026055,0.2001735048973945,True,,1.0,16
fixed,aipw,1,0.1555690208188341,0.0194691466531382,0.1174101945689545,0.1937278470687136,True,,1.0,16
fixed,aw_aipw,1,0.1555690208188341,0.0194691466531382,0.1174101945689545,0.1937278470687136,True,,1.0,16
fixed,difference_in_means,2,0.110002773338441,0.0203733257559974,0.0700717886113838,0.1499337580654983,True,,1.0,16
fixed,ipw,2,0.125,0.0246017288267576,0.0767814975421342,0.1732185024578657,True,,1.0,16
fixed,aipw,2,0.1072341579906724,0.0199567559916236,0.0681196349988362,0.1463486809825086,True,,1.0,16
fixed,aw_aipw,2,0.1072341579906724,0.0199567559916236,0.0681196349988362,0.1463486809825086,True,,1.0,16
fixed,difference_in_means,3,0.0987596611836007,0.0203470808964585,0.0588801154360191,0.1386392069311824,True,,1.0,16
fixed,ipw,3,0.11,0.0243130166926108,0.0623473629269615,0.1576526370730384,True,,1.0,16
fixed,aipw,3,0.0982452511297386,0.0196792762221921,0.0596745784924266,0.1368159237670507,True,,1.0,16
fixed,aw_aipw,3,0.0982452511297386,0.0196792762221921,0.0596745784924265,0.1368159237670507,True,,1.0,16
fixed,difference_in_means,1,0.1436793143342856,0.0206485244465457,0.1032089500851611,0.1841496785834102,True,,1.0,17
fixed,ipw,1,0.129,0.0254362241768524,0.0791459167106821,0.1788540832893178,True,,1.0,17
fixed,aipw,1,0.1397112891854407,0.0197974225955786,0.1009090539113871,0.1785135244594942,True,,1.0,17
fixed,aw_aipw,1,0.1397112891854406,0.0197974225955786,0.1009090539113871,0.1785135244594942,True,,1.0,17
fixed,difference_in_means,2,0.1387312935426023,0.020670786305595,0.0982172968515122,0.1792452902336923,True,,1.0,17
fixed,ipw,2,0.121,0.0252883298164632,0.0714357843305615,0.1705642156694384,True,,1.0,17
fixed,aipw,2,0.1363793146189231,0.0200746017597529,0.097033818165823,0.1757248110720232,True,,1.0,17
fixed,aw_aipw,2,0.136379314618923,0.0200746017597529,0.0970338181658229,0.1757248110720231,True,,1.0,17
fixed,difference_in_means,3,0.1237032928263049,0.0204030289058444,0.08371409099532,0.1636924946572898,True,,1.0,17
